fips_code,county,state_name,total_2016,dem_2016,gop_2016,oth_2016,gop_2020,dem_2020,total_2020,dem_diff,gop_diff
26041,Delta County,Michigan,18467,6431,11112,924,13206,7605,21154,0.0113,0.0226
48295,Lipscomb County,Texas,1322,135,1159,28,1203,131,1351,-0.0052,0.0137
01127,Walker County,Alabama,29243,4486,24208,549,25947,4826,31106,0.0017,0.0063
48389,Reeves County,Texas,3184,1659,1417,108,2249,1394,3683,-0.1425,0.1656
56017,Hot Springs County,Wyoming,2535,400,1939,196,1999,482,2577,0.0292,0.0108
20043,Doniphan County,Kansas,3366,584,2601,181,2949,678,3682,0.0106,0.0282
37183,Wake County,North Carolina,510940,298353,193607,18980,223466,388686,624049,0.0389,-0.0208
37147,Pitt County,North Carolina,78264,40967,35191,2106,38515,46607,86217,0.0171,-0.0029
48497,Wise County,Texas,24661,3412,20655,594,26986,4953,32297,0.015,-0.002
21207,Russell County,Kentucky,8171,1093,6863,215,7506,1329,8939,0.0149,-2e-4
05053,Grant County,Arkansas,6855,1407,5160,288,6791,1268,8197,-0.0506,0.0757
31147,Richardson County,Nebraska,3666,798,2684,184,2981,981,4018,0.0265,0.0098
47123,Monroe County,Tennessee,17050,3184,13361,505,16742,3760,20749,-0.0055,0.0232
36059,Nassau County,New York,599649,307326,275479,16844,286661,280288,572706,-0.0231,0.0411
01011,Bullock County,Alabama,4701,3530,1139,32,1143,3439,4603,-0.0038,0.006
42057,Fulton County,Pennsylvania,6743,904,5676,163,6660,1068,7807,0.0027,0.0113
20031,Coffey County,Kansas,3962,719,2990,253,3403,926,4442,0.027,0.0114
31151,Saline County,Nebraska,4795,1630,2849,316,3458,1737,5336,-0.0144,0.053900000000000003
31035,Clay County,Nebraska,2973,470,2373,130,2848,632,3558,0.0195,0.0023
28033,DeSoto County,Mississippi,64022,19892,42155,1975,45788,27733,75013,0.059,-0.048
22061,Lincoln Parish,Louisiana,18664,7102,10761,801,11311,7559,19275,0.0116,0.0103
40129,Roger Mills County,Oklahoma,1758,151,1546,61,1629,168,1834,0.0057,0.0088
22057,Lafourche Parish,Louisiana,41644,8423,31958,1263,36024,8672,45388,-0.0112,0.0263
40135,Sequoyah County,Oklahoma,14437,3061,10888,488,12113,3035,15386,-0.0148,0.0331
51153,Prince William County,Virginia,144854,83093,54065,7696,76432,139502,219075,0.0631,-0.0244
23031,York County,Maine,113962,55828,50388,7746,54099,72363,130346,0.0653,-0.0271
23015,Lincoln County,Maine,21432,10241,9727,1464,9723,11807,22142,0.0554,-0.0147
47025,Claiborne County,Tennessee,10706,1831,8589,286,10598,2201,12935,-9e-4,0.0171
29063,DeKalb County,Missouri,4590,824,3540,226,3827,930,4842,0.0125,0.0191
42045,Delaware County,Pennsylvania,284832,169169,106559,9104,116216,200911,321088,0.0318,-0.0122
12119,Sumter County,Florida,76649,22631,52722,1296,62753,29326,92600,0.0214,-0.0102
36055,Monroe County,New York,320164,174063,128871,17230,122995,146403,276241,-0.0137,0.0427
18045,Fountain County,Indiana,7474,1476,5661,337,6151,1627,7978,0.0065,0.0136
39063,Hancock County,Ohio,35216,9419,23777,2020,25796,11535,37999,0.0361,0.0037
34009,Cape May County,New Jersey,48375,18626,28237,1512,31498,22713,54980,0.0281,-0.0108
28047,Harrison County,Mississippi,62076,20679,39710,1687,41281,18499,60941,-0.0296,0.0377
05141,Van Buren County,Arkansas,7111,1547,5382,182,5962,1566,7704,-0.0143,0.017
48343,Morris County,Texas,4964,1425,3443,96,3841,1664,5548,0.0129,-0.0013
30073,Pondera County,Montana,2692,737,1786,169,2030,903,2994,0.0278,0.0146
47181,Wayne County,Tennessee,5842,717,5034,91,5795,820,6667,3e-4,0.0075
48153,Floyd County,Texas,1958,435,1473,50,1581,437,2035,-0.0074,0.0246
46119,Sully County,South Dakota,861,137,679,45,726,185,930,0.0398,-0.008
19097,Jackson County,Iowa,10204,3837,5821,546,6940,4029,11118,-0.0136,0.0538
28087,Lowndes County,Mississippi,25139,11545,13124,470,13699,12913,26993,0.0191,-0.0146
17155,Putnam County,Illinois,3076,1143,1762,171,1978,1309,3345,0.0197,0.0185
45073,Oconee County,South Carolina,33530,7979,24096,1455,29698,10414,40668,0.0181,0.0116
36101,Steuben County,New York,38373,11215,25091,2067,26781,11299,38797,-0.001,0.0364
37143,Perquimans County,North Carolina,6595,2291,4143,161,4894,2485,7457,-0.0141,0.0281
28035,Forrest County,Mississippi,27284,11271,15149,864,15326,10603,26540,-0.0136,0.0222
31027,Cedar County,Nebraska,4360,572,3533,255,4174,725,4996,0.0139,0.0251
13141,Hancock County,Georgia,3572,2695,841,36,1159,2985,4165,-0.0378,0.0428
39091,Logan County,Ohio,21007,4537,15586,884,17625,4990,22985,0.0011,0.0249
39059,Guernsey County,Ohio,16156,4286,11164,706,13077,4498,17806,-0.0127,0.0434
48297,Live Oak County,Texas,4267,739,3450,78,4198,819,5053,-0.0111,0.0223
47151,Scott County,Tennessee,7123,934,6044,145,8004,986,9052,-0.0222,0.0357
