,fips_code,county,total_2016,dem_2016,gop_2016,oth_2016,state_name,county_fips,gop_2020,dem_2020,total_2020,dem_diff,gop_diff
0,26041,Delta County,18467,6431,11112,924,Colorado,8029.0,13013.0,5862.0,19272.0,-0.0441,0.0735
1,26041,Delta County,18467,6431,11112,924,Michigan,26041.0,13206.0,7605.0,21154.0,0.0113,0.0226
2,26041,Delta County,18467,6431,11112,924,Texas,48119.0,2157.0,403.0,2587.0,-0.1925,0.2321
3,48295,Lipscomb County,1322,135,1159,28,Texas,48295.0,1203.0,131.0,1351.0,-0.0052,0.0137
4,1127,Walker County,29243,4486,24208,549,Alabama,1127.0,25947.0,4826.0,31106.0,0.0017,0.0063
5,1127,Walker County,29243,4486,24208,549,Georgia,13295.0,23174.0,5769.0,29436.0,0.0426,-0.0406
6,1127,Walker County,29243,4486,24208,549,Texas,48471.0,15368.0,7875.0,23641.0,0.1797,-0.1778
7,48389,Reeves County,3184,1659,1417,108,Texas,48389.0,2249.0,1394.0,3683.0,-0.1425,0.1656
8,56017,Hot Springs County,2535,400,1939,196,Wyoming,56017.0,1999.0,482.0,2577.0,0.0292,0.0108
9,20043,Doniphan County,3366,584,2601,181,Kansas,20043.0,2949.0,678.0,3682.0,0.0106,0.0282
10,37183,Wake County,510940,298353,193607,18980,North Carolina,37183.0,223466.0,388686.0,624049.0,0.0389,-0.0208
11,37147,Pitt County,78264,40967,35191,2106,North Carolina,37147.0,38515.0,46607.0,86217.0,0.0171,-0.0029
12,48497,Wise County,24661,3412,20655,594,Texas,48497.0,26986.0,4953.0,32297.0,0.015,-0.002
13,48497,Wise County,24661,3412,20655,594,Virginia,51195.0,13315.0,3084.0,16505.0,0.0485,-0.0308
14,21207,Russell County,8171,1093,6863,215,Alabama,1113.0,9796.0,11078.0,21108.0,0.3911,-0.3758
15,21207,Russell County,8171,1093,6863,215,Kansas,20167.0,2765.0,591.0,3436.0,0.0382,-0.0352
16,21207,Russell County,8171,1093,6863,215,Kentucky,21207.0,7506.0,1329.0,8939.0,0.0149,-0.0002
17,21207,Russell County,8171,1093,6863,215,Virginia,51167.0,10879.0,2373.0,13368.0,0.0437,-0.0261
